patient_id,class_id,class_name,distance_voxels,distance_mm,gt_missing,prediction_missing,gt_voxel_count,prediction_voxel_count
10001_HCT2_img,1,LL1,4.698308997465578,4.698308997465578,False,False,2348,925
10001_HCT2_img,2,LL2,6.486969360563938,6.486969360563938,False,False,1781,925
10001_HCT2_img,3,LL3,8.16462819949951,8.16462819949951,False,False,2318,913
10001_HCT2_img,4,LL4,3.9370039370059056,3.9370039370059056,False,False,2548,925
10001_HCT2_img,5,RL1,4.0883101533375,4.0883101533375,False,False,1976,913
10001_HCT2_img,6,RL2,5.766281297335398,5.766281297335398,False,False,2366,925
10001_HCT2_img,7,ANT,5.220153254455275,5.220153254455275,False,False,2366,925
10001_HCT2_img,8,Apex,1.5,1.5,False,False,2366,925
10001_HCT2_img,9,Base,13.683932183404009,13.683932183404009,False,False,2366,925
10004_HCT2_img,1,LL1,5.0990195135927845,5.0990195135927845,False,False,2535,925
10004_HCT2_img,2,LL2,3.724649275726706,3.724649275726706,False,False,1886,925
10004_HCT2_img,3,LL3,12.966860634661966,12.966860634661966,False,False,2339,583
10004_HCT2_img,4,LL4,1.5,1.5,False,False,2366,925
10004_HCT2_img,5,RL1,3.5562187846984075,3.5562187846984075,False,False,2066,905
10004_HCT2_img,6,RL2,5.315072906367325,5.315072906367325,False,False,2366,925
10004_HCT2_img,7,ANT,18.479718612576328,18.479718612576328,False,False,2548,925
10004_HCT2_img,8,Apex,4.743416490252569,4.743416490252569,False,False,2548,925
10004_HCT2_img,9,Base,3.905124837953327,3.905124837953327,False,False,2366,925
10006_HCT2_img,1,LL1,6.857269624084915,6.857269624084915,False,False,2350,919
10006_HCT2_img,2,LL2,11.903612413850956,11.903612413850956,False,False,1758,925
10006_HCT2_img,3,LL3,2.0873158642704968,2.0873158642704968,False,False,1646,161
10006_HCT2_img,4,LL4,6.18465843842649,6.18465843842649,False,False,2366,925
10006_HCT2_img,5,RL1,,,True,False,0,925
10006_HCT2_img,6,RL2,12.093386622447824,12.093386622447824,False,False,2366,925
10006_HCT2_img,7,ANT,29.295904150580505,29.295904150580505,False,False,2366,925
10006_HCT2_img,8,Apex,5.678908345800274,5.678908345800274,False,False,2366,925
10006_HCT2_img,9,Base,11.280514172678478,11.280514172678478,False,False,2366,925
10015_HCT2_img,1,LL1,21.03316012611403,21.03316012611403,False,False,2303,925
10015_HCT2_img,2,LL2,10.012492197250394,10.012492197250394,False,False,2366,925
10015_HCT2_img,3,LL3,,,False,True,2126,0
10015_HCT2_img,4,LL4,14.713938969562161,14.713938969562161,False,False,2548,925
10015_HCT2_img,5,RL1,6.527118917133791,6.527118917133791,False,False,1862,683
10015_HCT2_img,6,RL2,9.874208829065749,9.874208829065749,False,False,2548,925
10015_HCT2_img,7,ANT,4.387482193696061,4.387482193696061,False,False,2366,925
10015_HCT2_img,8,Apex,1.118033988749895,1.118033988749895,False,False,2366,925
10015_HCT2_img,9,Base,8.396427811873332,8.396427811873332,False,False,2548,925
10017_HCT2_img,1,LL1,1.118033988749895,1.118033988749895,False,False,2366,925
10017_HCT2_img,2,LL2,32.96677287695328,32.96677287695328,False,False,2366,813
10017_HCT2_img,3,LL3,7.05861064239095,7.05861064239095,False,False,1898,281
10017_HCT2_img,4,LL4,6.164414002968976,6.164414002968976,False,False,2535,925
10017_HCT2_img,5,RL1,4.363936034893352,4.363936034893352,False,False,1820,923
10017_HCT2_img,6,RL2,3.905124837953327,3.905124837953327,False,False,2366,925
10017_HCT2_img,7,ANT,9.340770846134703,9.340770846134703,False,False,2366,925
10017_HCT2_img,8,Apex,2.29128784747792,2.29128784747792,False,False,2366,925
10017_HCT2_img,9,Base,3.2015621187164243,3.2015621187164243,False,False,2366,925
10030_HCT2_img,1,LL1,5.436022372519215,5.436022372519215,False,False,2294,925
10030_HCT2_img,2,LL2,6.329797576520474,6.329797576520474,False,False,2275,251
10030_HCT2_img,3,LL3,5.315072906367325,5.315072906367325,False,False,2366,925
10030_HCT2_img,4,LL4,6.576473218982953,6.576473218982953,False,False,2366,925
10030_HCT2_img,5,RL1,5.903034883591572,5.903034883591572,False,False,1900,663
10030_HCT2_img,6,RL2,8.845903006477066,8.845903006477066,False,False,2366,925
10030_HCT2_img,7,ANT,7.762087348130012,7.762087348130012,False,False,2366,925
10030_HCT2_img,8,Apex,4.6097722286464435,4.6097722286464435,False,False,2366,925
10030_HCT2_img,9,Base,6.87386354243376,6.87386354243376,False,False,2366,925
10043_HCT2_img,1,LL1,5.244044240850758,5.244044240850758,False,False,2548,925
10043_HCT2_img,2,LL2,4.094476209324731,4.094476209324731,False,False,1816,398
10043_HCT2_img,3,LL3,4.86635962335395,4.86635962335395,False,False,2448,925
10043_HCT2_img,4,LL4,2.598076211353316,2.598076211353316,False,False,2744,925
10043_HCT2_img,5,RL1,1.3997194653870393,1.3997194653870393,False,False,1358,925
10043_HCT2_img,6,RL2,6.082762530298219,6.082762530298219,False,False,2535,925
10043_HCT2_img,7,ANT,10.606601717798213,10.606601717798213,False,False,2548,925
10043_HCT2_img,8,Apex,4.716990566028302,4.716990566028302,False,False,2730,925
10043_HCT2_img,9,Base,11.324751652906125,11.324751652906125,False,False,2366,925
10055_HCT2_img,1,LL1,1.1357767159672276,1.1357767159672276,False,False,2358,925
10055_HCT2_img,2,LL2,4.54423359545256,4.54423359545256,False,False,1742,886
10055_HCT2_img,3,LL3,6.18465843842649,6.18465843842649,False,False,2366,925
10055_HCT2_img,4,LL4,4.716990566028302,4.716990566028302,False,False,2366,925
10055_HCT2_img,5,RL1,5.4905436181105705,5.4905436181105705,False,False,1838,923
10055_HCT2_img,6,RL2,4.031128874149275,4.031128874149275,False,False,2366,925
10055_HCT2_img,7,ANT,6.18465843842649,6.18465843842649,False,False,2366,925
10055_HCT2_img,8,Apex,5.123475382979799,5.123475382979799,False,False,2366,925
10055_HCT2_img,9,Base,2.0615528128088303,2.0615528128088303,False,False,2366,925
10058_HCT2_img,1,LL1,1.8470053804842959,1.8470053804842959,False,False,2306,925
10058_HCT2_img,2,LL2,3.132962924512343,3.132962924512343,False,False,2007,583
10058_HCT2_img,3,LL3,5.608971984395274,5.608971984395274,False,False,2366,903
10058_HCT2_img,4,LL4,10.816653826391969,10.816653826391969,False,False,2535,925
10058_HCT2_img,5,RL1,4.7799243657953845,4.7799243657953845,False,False,1946,789
10058_HCT2_img,6,RL2,5.024937810560445,5.024937810560445,False,False,2366,925
10058_HCT2_img,7,ANT,4.58257569495584,4.58257569495584,False,False,2535,925
10058_HCT2_img,8,Apex,10.246950765959598,10.246950765959598,False,False,2535,925
10058_HCT2_img,9,Base,3.0413812651491097,3.0413812651491097,False,False,2366,925
10061_HCT2_img,1,LL1,1.118033988749895,1.118033988749895,False,False,2366,925
10061_HCT2_img,2,LL2,10.128962548873066,10.128962548873066,False,False,1934,789
10061_HCT2_img,3,LL3,6.34428877022476,6.34428877022476,False,False,2366,925
10061_HCT2_img,4,LL4,4.5,4.5,False,False,2366,925
10061_HCT2_img,5,RL1,7.586880773678012,7.586880773678012,False,False,2175,649
10061_HCT2_img,6,RL2,11.412712210513327,11.412712210513327,False,False,2366,925
10061_HCT2_img,7,ANT,7.088723439378913,7.088723439378913,False,False,2366,925
10061_HCT2_img,8,Apex,9.810708435174291,9.810708435174291,False,False,2366,925
10061_HCT2_img,9,Base,4.5,4.5,False,False,2366,925
10065_HCT2_img,1,LL1,7.143136731594633,7.143136731594633,False,False,2730,849
10065_HCT2_img,2,LL2,14.94026884764379,14.94026884764379,False,False,2159,925
10065_HCT2_img,3,LL3,10.169462252066372,10.169462252066372,False,False,2366,349
10065_HCT2_img,4,LL4,18.227726133558185,18.227726133558185,False,False,2366,925
10065_HCT2_img,5,RL1,7.149526167453382,7.149526167453382,False,False,1664,753
10065_HCT2_img,6,RL2,8.645808232895291,8.645808232895291,False,False,2744,925
10065_HCT2_img,7,ANT,8.04673846971554,8.04673846971554,False,False,2744,925
10065_HCT2_img,8,Apex,10.222524150130436,10.222524150130436,False,False,2548,925
10065_HCT2_img,9,Base,99.73464794142505,99.73464794142505,False,False,2535,925
11002_HCT2_img,1,LL1,4.716990566028302,4.716990566028302,False,False,2366,925
11002_HCT2_img,2,LL2,6.131163938802779,6.131163938802779,False,False,1664,789
11002_HCT2_img,3,LL3,5.522680508593631,5.522680508593631,False,False,2548,925
11002_HCT2_img,4,LL4,4.5,4.5,False,False,2366,925
11002_HCT2_img,5,RL1,13.955979557909403,13.955979557909403,False,False,1766,833
11002_HCT2_img,6,RL2,5.678908345800274,5.678908345800274,False,False,2366,925
11002_HCT2_img,7,ANT,3.3541019662496847,3.3541019662496847,False,False,2366,925
11002_HCT2_img,8,Apex,6.442049363362563,6.442049363362563,False,False,2548,925
11002_HCT2_img,9,Base,4.272001872658765,4.272001872658765,False,False,2366,925
